wals_code,langname
orw,Oromo
dah,Dahalo
had,Hadza
ani,//Ani
det,Deti
kxo,Kxoe
nro,Nharo
xun,!Xun (Ekoka)
juh,Ju|’hoan
sdw,Sandawe
xoo,!Xóõ
xam,/Xam
bak,Baka
aka,Aka
shb,Shabo
koe,Koegu
ain,Ainu
evn,Even
eve,Evenki
nai,Nanai
neg,Negidal
orc,Oroch
ork,Orok
udh,Udihe
ulc,Ulcha
dol,Dolgan
tof,Tofa
alu,Alutor
chk,Chukchi
krq,Kerek
kry,Koryak
ite,Itelmen
ved,Vedda
kus,Kusunda
niv,Nivkh
nvs,Nivkh
ene,Enets
nga,Nganasan
skp,Selkup
kty,Khanty
mns,Mansi
ket,Ket
ktt,Kott
yug,Yugh
yko,Yukaghir
apk,A-Pucikwar
akb,Aka-Biada
akc,Aka-Cari
akk,Aka-Kede
jrw,Jarawa
ong,Onge
jah,Jahai
jun,Juang
mlm,Mlabri
bat,Batak
mmn,Mamanwa
agc,Agta
dca,Dumagat
baj,Bajau
bik,Biak
wrp,Waropen
url,Urak Lawoi’
bzi,Bauzi
kiw,Kiwai
isi,Isirawa
kwb,Kwerba
dou,Doutai
iau,Iau
kkr,Kirikiri
skr,Sikaritai
kbo,Kambot
mrk,Murik
yim,Yimas
boa,Boazi
zim,Zimakani
kwo,Kwoma
ala,Alamblak
bhn,Bahinemo
sar,Sare
brk,Berik
one,One
asm,Asmat
kmr,Kamoro
kmb,Kombai
ann,Anindilyakwa
bac,Bachamal
pun,Pungupungu
bnb,Bunuba
goo,Gooniyandi
bua,Burarra
grg,Gurr-goni
kij,Kitja
mir,Miriwung
kmw,Kamu
mdl,Madngele
gaa,Gaagudju
grr,Garrwa
bbw,Bininj Gun-Wok
gnb,Gunbalang
nkb,Ngalkbun
iwa,Iwaidja
mau,Maung
jam,Jaminjung
lar,Laragia
lml,Limilngan
myi,Mangarrayi
alw,Alawa
mra,Mara
wrn,Warndarang
mpa,Murrinh-Patha
nkk,Nakkara
ndj,Ndjébbana
ngl,Ngalakan
ngn,Ngandi
mlk,Malakmalak
tye,Tyeraity
nug,Nunggubuyu
brd,Bardi
nyn,Nyigina
nyu,Nyulnyul
wrw,Warrwa
ywr,Yawuru
adn,Adynyamathanha
aly,Alyawarra
agt,Anguthimri
abn,Arabana
arr,Arrernte
amp,Arrernte
awe,Arrernte
bdm,Badimaya
bnj,Bandjalang
bca,Bandjalang
bwa,Bandjalang
byu,Bandjalang
bnl,Banggarla
bnr,Bilinara
bii,Biri
bnu,Bularnu
clc,Colac
dhw,Dharawal
dhr,Dhargari
dhb,Dharumbal
dhu,Dhurga
dda,Dhuwal
diy,Diyari
dja,Djabugay
djm,Djambarrpuyngu
djp,Djapu
djr,Djaru
djn,Djinang
dyi,Dyirbal
glp,Gaalpu
gml,Gamilaraay
gid,Gidabal
gug,Gugada
gmt,Gumatj
gum,Gumbaynggir
gny,Gunya
ggu,Gureng Gureng
gji,Gurindji
guu,Guugu Yimidhirr
jua,Juat
kly,Kala Lagaw Ya
kgu,Kalkatungu
krj,Karadjeri
kaq,Kaurna
knc,Kugu Nganhcara
kya,Kuku-Yalanji
kjn,Kunjen
kuu,Kuuku Ya’u
lla,Lamu-Lamu
lrd,Lardil
mdm,Madimadi
mnj,Mantjiltjara
mny,Margany
mwa,Martu Wangka
mrt,Martuthunira
myy,Mayi-Yapi
mbb,Mbabaram
mdb,Mudburra
mrw,Muruwari
ntj,Ngaanyatjarra
ngj,Ngadjumaja
ngr,Ngarinyeri
ngy,Ngarinyman
nlu,Ngarluma
ngw,Ngawun
ngi,Ngiyambaa
nha,Nhanda
nyr,Nyangumarda
nya,Nyawaygi
nju,Nyungar
pkn,Paakantyi
pak,Pakanha
pny,Panyjima
pin,Pintupi
pit,Pitjantjatjara
ppi,Pitta
rit,Ritharngu
thy,Thaayorre
thp,Thaypan
uhi,Uradhi
wlm,Walmatjari
wan,Wangkumara
wrl,Warlpiri
wlw,Warluwara
wrg,Warrgamay
wrb,Warrnambool
wgu,Warrungu
wth,Wathawurrung
wat,Watjarri
wem,Wembawemba
wdo,Western Desert
wmu,Wik Munkan
wn,Wik Ngathana
wir,Wirangu
wwr,Woiwurrung
ynk,Yankuntjatjara
yny,Yanyuwa
yyg,Yaygir
yid,Yidiny
yin,Yindjibarndi
yng,Yingkarta
yir,Yir
yyo,Yorta
ylb,Yulparija
yuw,Yuwaalaraay
rmb,Rembarnga
ngg,Ngan’gityemerri
ngk,Ngankikurungkurr
kay,Kayardild
yuk,Yukulta
tiw,Tiwi
wry,Waray
dji,Djingili
wam,Wambaya
emm,Emmi
mku,Maranungku
mrr,Maringarr
mrh,Marrithiyel
gnn,Gunin
ung,Ungarinjin
wor,Worora
wag,Wagiman
wrd,Wardaman
abw,Abenaki
alg,Algonquin
aho,Arapaho
ati,Atikamekw
bla,Blackfoot
cyn,Cheyenne
cpw,Chippewa
cea,Cree
cre,Cree
fox,Fox
ill,Illinois
kic,Kickapoo
men,Menomini
mic,Micmac
mtg,Montagnais
nsk,Naskapi
oji,Ojibwa
ojs,Ojibwa
ojm,Ojibwe
psm,PassamaquoddyMaliseet
pot,Potawatomi
shw,Shawnee
wiy,Wiyot
yur,Yurok
beo,Beothuk
cmk,Chemakum
qui,Quileute
ctm,Chitimacha
cba,Chumash
cin,Chumash
ale,Aleut
aea,Aleut
atq,Alutiiq
gre,Greenlandic
gso,Greenlandic
grw,Greenlandic
inu,Iñupiaq
iql,Inuktitut
inr,Inuktitut
ins,Inuktitut
kgt,Kangiryuarmiut
ypk,Yup’ik
ych,Yup’ik
yun,Yup’ik
yna,Yupik
yus,Yupik
ysi,Yupik
ysl,Yupik
ess,Esselen
hai,Haida
hno,Haida
chi,Chimariko
acm,Achumawi
ats,Atsugewi
ksh,Kashaya
pmc,Pomo
pme,Pomo
pmn,Pomo
pso,Pomo
ser,Seri
shs,Shasta
yan,Yana
ccp,Cocopa
klw,Kiliwa
mar,Maricopa
moj,Mojave
que,Quechan
klp,Kalapuya
krk,Karok
kio,Kiowa
kut,Kutenai
aht,Ahtna
apc,Apache
apj,Apache
apw,Apache
crq,Carrier
chp,Chipewyan
dgx,Degexit’an
hup,Hupa
kto,Kato
kyn,Koyukon
kth,Kutchin
mtl,Mattole
src,Sarcee
sla,Slave
slv,Slavey
tnc,Tanacross
tnj,Tanaina
tnl,Tanana
tut,Tutchone
uku,Upper Kuskokwim
eya,Eyak
tli,Tlingit
als,Alsea
coo,Coos
siu,Siuslaw
ckl,Chinook
cku,Chinook
cos,Costanoan
mut,Mutsun
klm,Klamath
knw,Konkow
mne,Maidu
nsn,Nisenan
mkb,Miwok
mcs,Miwok
mwl,Miwok
mwn,Miwok
mwp,Miwok
mss,Miwok
mll,Molala
nez,Nez Perce
shp,Sahaptin
smt,Sahaptin
git,Gitksan
nsg,Nisgha
tsi,Tsimshian
ptw,Patwin
win,Wintu
wik,Wikchamni
ywl,Yawelmani
yok,Yokuts
sal,Salinan
bco,Bella Coola
cla,Clallam
cmx,Comox
hlk,Halkomelem
lum,Lummi
lus,Lushootseed
sch,Saanich
sss,Salish
sps,Salish
sst,Salish
sgs,Songish
soo,Sooke
squ,Squamish
twa,Twana
coe,Coeur d’Alene
cwe,Columbia-Wenatchi
kls,Kalispel
lil,Lillooet
oka,Okanagan
shu,Shuswap
spo,Spokane
tho,Thompson
til,Tillamook
chl,Chehalis
blx,Biloxi
cro,Crow
dak,Dakota
lkt,Lakhota
omh,Omaha
osa,Osage
sto,Stoney
wnb,Winnebago
tkl,Takelma
ton,Tonkawa
cmn,Comanche
kws,Kawaiisu
mno,Mono
pno,Paiute
sho,Shoshone
swr,Shoshone
tsh,Tümpisa
ute,Ute
cah,Cahuilla
cup,Cupeño
lui,Luiseño
srr,Serrano
tbb,Tübatulabal
hsl,Haisla
hei,Heiltsuk
kwk,Kwakw’ala
kyq,Kyuquot
mak,Makah
nit,Nitinaht
nuu,Nuuchahnulth
wap,Wappo
yki,Yuki
was,Washo
qaw,Qawasqar
cac,Cacua
nuk,Nukak
akw,Akawaio
kun,Kuna
sel,Selknam
teh,Tehuelche
gku,Gününa Küne
cui,Cuiba
ghb,Guahibo
abi,Abipón
kdw,Kadiwéu
mcv,Mocoví
pga,Pilagá
tob,Toba
hmb,Huambisa
lul,Lule
mkw,Máku
brr,Bororo
kng,Kaingang
kyp,Kayapó
gto,Guató
gna,Guana
lng,Lengua
crt,Chorote
mca,Maca
wch,Wichí
mis,Miskito
prh,Pirahã
nmb,Nambikuára
ese,Ese Ejja
ach,Aché
srn,Sirionó
daw,Dâw
hpd,Hupda
nad,Nadëb
wao,Waorani
wra,Warao
yah,Yahgan
snm,Sanuma
shi,Shiriana
yrr,Yaruro
